кровать (bed)
диван (sofa)
шкаф (wardrobe)
полка (shelf)
кресло (armchair)
комод (chest of drawers)
зеркало (mirror)
лампа (lamp)
тумбочка (nightstand)
ковёр (carpet)
занавеска (curtain)
подушка (pillow)
одеяло (blanket)
покрывало (bedspread)
матрас (mattress)
вешалка (hanger)
ваза (vase)
рама (frame)
ручка (handle)
петля (hinge)
ножка (leg)
обивка (upholstery)
ящик (drawer)
подлокотник (armrest)
изголовье (headboard)
спинка (backrest)
пуфик (ottoman)
ширма (screen)
(elevator)
лестница (stairs)
дверь (door)
окно (window)
